Datasheet|Image|DK Part #|Mfr Part #|Mfr|Supplier|Description|Stock|Price|@ qty|Min Qty| Package|Series|Part Status|Connector Type|Contact Type|Style|Number of Positions|Number of Positions Loaded|Pitch - Mating|Number of Rows|Row Spacing - Mating|Mounting Type|Termination|Fastening Type|Contact Finish - Mating|Contact Finish Thickness - Mating|Insulation Color|Insulation Height|Contact Length - Post|Operating Temperature|Material Flammability Rating|Contact Finish - Post|Mated Stacking Heights|Ingress Protection|Features|Current Rating (Amps)|Voltage Rating
https://www.molex.com/pdm_docs/ps/781200001-000.pdf|//media.digikey.com/Photos/Molex/0781202407.jpg|WM16692-ND|781202407|Molex|Molex|CONN RCPT 24POS 0.05 GOLD SMD|0|2.13|0|1|Tube|Slim-Grid 78120|Active|Receptacle|Female Socket|Board to Board|24|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|1.97µin (0.050µm)|Black|"0.178"" (4.51mm)"|-|-55°C ~ 105°C|UL94 V-0|Tin|-|-|-|4.3A|125VAC
https://www.molex.com/pdm_docs/ps/781200001-000.pdf|-|0781202018-ND|781202018|Molex|Molex|CONN RCPT 20POS 0.05 GOLD SMD|0|1.38259|0|2432|Tube|Slim-Grid 78120|Active|Receptacle|Female Socket|Board to Board|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|15.0µin (0.38µm)|Black|"0.178"" (4.51mm)"|-|-55°C ~ 105°C|UL94 V-0|Tin|-|-|Pick and Place|4.3A|125VAC
https://www.molex.com/pdm_docs/ps/781200001-000.pdf|-|0781202408-ND|781202408|Molex|Molex|CONN RCPT 24POS 0.05 GOLD SMD|0|Active|0|0|Tube|Slim-Grid 78120|Active|Receptacle|Female Socket|Board to Board|24|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|15.0µin (0.38µm)|Black|"0.178"" (4.51mm)"|-|-55°C ~ 105°C|UL94 V-0|Tin|-|-|-|4.3A|125VAC
https://www.molex.com/pdm_docs/ps/781200001-000.pdf|-|0781202019-ND|781202019|Molex|Molex|CONN RCPT 20POS 0.05 GOLD SMD|0|1.45553|0|2432|Tube|Slim-Grid 78120|Active|Receptacle|Female Socket|Board to Board|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|30.0µin (0.76µm)|Black|"0.178"" (4.51mm)"|-|-55°C ~ 105°C|UL94 V-0|Tin|-|-|Pick and Place|4.3A|125VAC
https://www.molex.com/pdm_docs/ps/781200001-000.pdf|-|0781202007-ND|781202007|Molex|Molex|CONN RCPT 20POS 0.05 GOLD SMD|0|0.99234|0|2432|Tube|Slim-Grid 78120|Active|Receptacle|Female Socket|Board to Board|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|1.97µin (0.050µm)|Black|"0.178"" (4.51mm)"|-|-55°C ~ 105°C|UL94 V-0|Tin|-|-|-|4.3A|125VAC
https://www.molex.com/pdm_docs/ps/781200001-000.pdf|-|0781202419-ND|781202419|Molex|Molex|CONN RCPT 24POS 0.05 GOLD SMD|0|1.61733|0|2048|Tube|Slim-Grid 78120|Active|Receptacle|Female Socket|Board to Board|24|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|30.0µin (0.76µm)|Black|"0.178"" (4.51mm)"|-|-55°C ~ 105°C|UL94 V-0|Tin|-|-|Pick and Place|4.3A|125VAC
https://www.molex.com/pdm_docs/ps/781200001-000.pdf|-|0781202417-ND|781202417|Molex|Molex|CONN RCPT 24POS 0.05 GOLD SMD|0|1.44454|0|2048|Tube|Slim-Grid 78120|Active|Receptacle|Female Socket|Board to Board|24|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|1.97µin (0.050µm)|Black|"0.178"" (4.51mm)"|-|-55°C ~ 105°C|UL94 V-0|Tin|-|-|Pick and Place|4.3A|125VAC
https://www.molex.com/pdm_docs/ps/781200001-000.pdf|-|0781202418-ND|781202418|Molex|Molex|CONN RCPT 24POS 0.05 GOLD SMD|0|1.52669|0|2048|Tube|Slim-Grid 78120|Active|Receptacle|Female Socket|Board to Board|24|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|15.0µin (0.38µm)|Black|"0.178"" (4.51mm)"|-|-55°C ~ 105°C|UL94 V-0|Tin|-|-|Pick and Place|4.3A|125VAC
https://www.molex.com/pdm_docs/ps/781200001-000.pdf|-|0781202409-ND|781202409|Molex|Molex|CONN RCPT 24POS 0.05 GOLD SMD|0|Active|0|0|Tube|Slim-Grid 78120|Active|Receptacle|Female Socket|Board to Board|24|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|30.0µin (0.76µm)|Black|"0.178"" (4.51mm)"|-|-55°C ~ 105°C|UL94 V-0|Tin|-|-|-|4.3A|125VAC
https://www.molex.com/pdm_docs/ps/781200001-000.pdf|-|0781202008-ND|781202008|Molex|Molex|CONN RCPT 20POS 0.05 GOLD SMD|0|1.06078|0|2432|Tube|Slim-Grid 78120|Active|Receptacle|Female Socket|Board to Board|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|15.0µin (0.38µm)|Black|"0.178"" (4.51mm)"|-|-55°C ~ 105°C|UL94 V-0|Tin|-|-|-|4.3A|125VAC
